GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
spring-reactive-api,com.lauro.correia.reactive.api.exception.post,PostNotFoundException,10,0,0,0,4,0,2,0,2,0
spring-reactive-api,com.lauro.correia.reactive.api.service.album,AlbumServiceImpl,16,41,0,0,2,11,2,4,2,4
spring-reactive-api,com.lauro.correia.reactive.api.openapi,SpringdocConfiguration,0,31,0,0,0,10,0,2,0,2
spring-reactive-api,com.lauro.correia.reactive.api.vo,AlbumVO,0,12,0,0,0,1,0,1,0,1
spring-reactive-api,com.lauro.correia.reactive.api.vo,CompanyVO,0,12,0,0,0,1,0,1,0,1
spring-reactive-api,com.lauro.correia.reactive.api.vo,UserVO,0,12,0,0,0,1,0,1,0,1
spring-reactive-api,com.lauro.correia.reactive.api.vo,AddressVO,0,18,0,0,0,1,0,1,0,1
spring-reactive-api,com.lauro.correia.reactive.api.vo,UserInfoVO,0,30,0,0,0,1,0,1,0,1
spring-reactive-api,com.lauro.correia.reactive.api.vo,PostVO,0,15,0,0,0,1,0,1,0,1
spring-reactive-api,com.lauro.correia.reactive.api.vo,GeolocationVO,0,9,0,0,0,1,0,1,0,1
spring-reactive-api,com.lauro.correia.reactive.api,SpringReactiveApiApplication,5,3,0,0,2,1,1,1,1,1
spring-reactive-api,com.lauro.correia.reactive.api.exception.user,UserNotFoundException,3,7,0,0,1,3,1,1,1,1
spring-reactive-api,com.lauro.correia.reactive.api.model,UserInfo,0,24,0,0,0,1,0,1,0,1
spring-reactive-api,com.lauro.correia.reactive.api.model,User,0,12,0,0,0,1,0,1,0,1
spring-reactive-api,com.lauro.correia.reactive.api.model,Album,0,12,0,0,0,1,0,1,0,1
spring-reactive-api,com.lauro.correia.reactive.api.model,Address,0,18,0,0,0,1,0,1,0,1
spring-reactive-api,com.lauro.correia.reactive.api.model,Post,0,15,0,0,0,1,0,1,0,1
spring-reactive-api,com.lauro.correia.reactive.api.model,Geolocation,0,9,0,0,0,1,0,1,0,1
spring-reactive-api,com.lauro.correia.reactive.api.model,Company,0,12,0,0,0,1,0,1,0,1
spring-reactive-api,com.lauro.correia.reactive.api.exception.album,AlbumNotFoundException,10,0,0,0,4,0,2,0,2,0
spring-reactive-api,com.lauro.correia.reactive.api.controller,UserInfoRestControllerAdvice,0,37,0,0,0,12,0,4,0,4
spring-reactive-api,com.lauro.correia.reactive.api.controller,UserInfoController,0,26,0,0,0,6,0,4,0,4
spring-reactive-api,com.lauro.correia.reactive.api.exception,ServerErrorException,3,7,0,0,1,3,1,1,1,1
spring-reactive-api,com.lauro.correia.reactive.api.exception,CustomMessageApiError,106,19,22,0,1,4,17,4,6,4
spring-reactive-api,com.lauro.correia.reactive.api.exception,CustomMessageApiError.CustomMessageApiErrorBuilder,6,21,0,0,0,1,1,4,1,4
spring-reactive-api,com.lauro.correia.reactive.api.service.post,PostServiceImpl,16,41,0,0,2,11,2,4,2,4
spring-reactive-api,com.lauro.correia.reactive.api.service.user,UserServiceImpl,8,146,0,0,1,32,1,10,1,10
